date,account,type,category,amount,description
2025-08-27,AC124,Credit,Utilities,1483.37,Utility bill
2025-08-06,AC125,Credit,Salary,926.91,Monthly paycheck
2025-08-09,AC123,Debit,Salary,-2712.64,Monthly paycheck
2025-08-17,AC125,Debit,Salary,1968.03,Monthly paycheck
2025-08-28,AC124,Debit,Salary,1835.99,Monthly paycheck
2025-08-05,AC125,Debit,Salary,4619.50,Monthly paycheck
2025-08-08,AC123,Debit,Transport,901.07,Taxi or bus fare
2025-08-20,AC125,Debit,Utilities,391.86,Utility bill
2025-08-24,AC123,Credit,Entertainment,1743.00,Movie or event
2025-08-03,AC125,Credit,Utilities,2335.51,Utility bill
2025-08-13,AC124,Credit,Entertainment,536.73,Movie or event
2025-08-24,AC123,Debit,Utilities,1861.51,Utility bill
2025-08-01,AC123,Debit,Shopping,4582.62,Purchased items
2025-08-30,AC125,Debit,Food,4597.74,Lunch at cafe
2025-08-16,AC124,Credit,Shopping,3779.22,Purchased items
2025-08-24,AC123,Debit,Rent,608.07,Monthly rent
2025-08-14,AC123,Debit,Food,1625.01,Lunch at cafe
2025-08-04,AC123,Debit,Utilities,2119.16,Utility bill
2025-08-10,AC123,Debit,Food,4518.89,Lunch at cafe
2025-08-20,AC125,Credit,Salary,3149.49,Monthly paycheck
2025-08-12,AC124,Credit,Shopping,4378.85,Purchased items
2025-08-12,AC125,Debit,Food,1685.01,Lunch at cafe
2025-08-16,AC124,Credit,Transport,848.30,Taxi or bus fare
2025-08-03,AC123,Debit,Utilities,1296.08,Utility bill
2025-08-31,AC125,,Shopping,609.63,Purchased items
2025-08-10,AC124,Credit,Food,2680.22,Lunch at cafe
2025-08-20,AC123,Debit,Salary,1459.98,Monthly paycheck
2025-08-07,AC124,Credit,Transport,3540.52,Taxi or bus fare
2025-08-10,AC123,Debit,Rent,4653.42,Monthly rent
2025-08-22,AC125,Debit,Utilities,506.77,Utility bill
2025-08-13,AC123,Credit,Food,809.77,Lunch at cafe
2025-08-24,AC125,Debit,Transport,3779.92,Taxi or bus fare
2025-08-06,AC124,Credit,Food,4340.25,Lunch at cafe
2025-08-13,AC123,Debit,Shopping,1972.85,Purchased items
2025-08-18,AC123,Credit,Transport,3985.34,Taxi or bus fare
2025-08-11,AC125,Credit,Utilities,1767.61,Utility bill
2025-08-22,AC124,Credit,Rent,1469.35,Monthly rent
2025-08-25,AC124,Debit,Rent,1412.12,Monthly rent
2025-08-04,AC124,Credit,Entertainment,1465.17,Movie or event
2025-08-28,AC124,Credit,Shopping,-4560.21,Purchased items
2025-08-03,AC123,Credit,Food,2203.36,Lunch at cafe
2025-08-28,AC124,Credit,Rent,568.21,Monthly rent
2025-08-11,AC125,Debit,Rent,2250.48,Monthly rent
2025-08-01,AC123,Credit,Entertainment,2427.95,Movie or event
2025-08-20,AC125,Credit,Salary,3954.57,Monthly paycheck
2025-08-07,AC124,Debit,Transport,3682.67,Taxi or bus fare
2025-08-25,AC123,Debit,Food,2597.00,Lunch at cafe
2025-08-03,AC124,Credit,Shopping,5.55,Purchased items
2025-08-18,AC125,Debit,Transport,3423.59,Taxi or bus fare
2025-08-13,AC125,Credit,Food,460.45,Lunch at cafe
2025-08-19,AC124,Debit,Utilities,1972.24,Utility bill
2025-08-07,AC125,Debit,Entertainment,1979.55,Movie or event
2025-08-08,AC123,Debit,Rent,4365.47,Monthly rent
2025-08-29,AC124,Debit,Transport,4167.09,Taxi or bus fare
2025-08-25,AC123,Credit,Entertainment,2353.02,Movie or event
2025-08-18,AC125,Debit,Transport,2339.54,Taxi or bus fare
2025-08-27,AC124,Debit,Rent,4139.67,Monthly rent
2025-08-07,AC125,Debit,Utilities,2962.42,Utility bill
2025-08-08,AC125,Debit,Food,3283.41,Lunch at cafe
2025-08-20,AC125,Credit,Rent,1893.60,Monthly rent
2025-08-15,AC124,,Salary,4199.16,Monthly paycheck
2025-08-14,AC125,Credit,Food,2881.03,Lunch at cafe
2025-08-01,AC123,Debit,Shopping,4745.72,Purchased items
2025-08-10,AC125,Debit,Entertainment,1900.50,Movie or event
2025-08-13,AC125,Debit,Salary,3793.41,Monthly paycheck
2025-08-23,AC125,Debit,Food,2887.59,Lunch at cafe
2025-08-30,AC125,Debit,Utilities,459.37,Utility bill
2025-08-06,AC123,Debit,Food,4476.84,Lunch at cafe
2025-08-25,AC123,Credit,Salary,1863.61,Monthly paycheck
2025-08-26,AC124,Debit,Entertainment,2418.54,Movie or event
2025-08-14,AC123,Credit,Utilities,4284.13,Utility bill
2025-08-08,AC125,Credit,Shopping,1134.60,Purchased items
2025-08-29,AC124,Credit,Shopping,4189.31,Purchased items
2025-08-10,AC124,Credit,Transport,2747.97,Taxi or bus fare
2025-08-31,AC125,Debit,Utilities,191.07,Utility bill
2025-08-15,AC124,Credit,Salary,3292.52,Monthly paycheck
2025-08-21,AC123,Credit,Food,1250.72,Lunch at cafe
2025-08-12,AC125,Debit,Shopping,2060.44,Purchased items
2025-08-30,AC123,Credit,Salary,2719.64,Monthly paycheck
2025-08-03,AC124,Debit,Rent,1294.11,
2025-08-08,AC123,Debit,Transport,1456.56,Taxi or bus fare
2025-08-25,AC123,Debit,Utilities,3158.60,Utility bill
2025-08-08,AC123,Credit,Entertainment,4512.27,Movie or event
2025-08-22,AC124,Debit,Food,3260.61,Lunch at cafe
2025-08-13,AC124,Debit,Entertainment,3069.99,Movie or event
2025-08-29,AC124,Credit,Transport,4509.50,Taxi or bus fare
2025-08-20,AC125,Credit,Entertainment,4903.97,Movie or event
2025-08-06,AC124,Debit,Entertainment,1739.76,Movie or event
2025-08-18,AC123,Debit,Food,2432.38,Lunch at cafe
2025-08-08,AC124,,Salary,300.94,Monthly paycheck
2025-08-29,AC123,Debit,Food,2218.31,
2025-08-04,AC125,Credit,Entertainment,4717.88,Movie or event
2025-08-18,AC125,Credit,Utilities,4786.60,Utility bill
2025-08-31,AC123,Debit,Entertainment,4056.55,Movie or event
2025-08-14,AC125,Credit,Transport,3795.57,Taxi or bus fare
2025-08-19,AC125,Credit,Entertainment,3547.42,Movie or event
2025-08-19,AC124,Debit,Transport,1667.54,Taxi or bus fare
2025-08-27,AC123,Debit,Utilities,2961.12,Utility bill
2025-08-12,AC125,Debit,Shopping,2563.47,Purchased items
2025-08-25,AC124,Credit,Rent,4055.59,Monthly rent
2025-08-29,AC125,Credit,Entertainment,691.21,Movie or event
2025-08-09,AC125,Credit,Food,1527.11,Lunch at cafe
2025-08-26,AC124,Credit,Rent,4194.29,Monthly rent
2025-08-15,AC123,Debit,Salary,3025.45,Monthly paycheck
2025-08-17,AC125,Debit,Shopping,263.03,Purchased items
2025-08-27,AC124,Credit,Food,4111.82,Lunch at cafe
2025-08-21,AC125,Credit,Transport,471.73,Taxi or bus fare
2025-08-26,AC125,Credit,Utilities,288.77,Utility bill
2025-08-26,AC123,Debit,Food,1595.91,Lunch at cafe
2025-08-04,AC125,Credit,Utilities,4480.82,Utility bill
2025-08-24,AC124,Debit,Food,3413.52,Lunch at cafe
2025-08-03,AC124,Credit,Shopping,4594.67,Purchased items
2025-08-03,AC125,Credit,Transport,-1243.97,Taxi or bus fare
2025-08-11,AC123,Credit,Rent,2531.41,Monthly rent
2025-08-17,AC125,Credit,Salary,1204.84,Monthly paycheck
2025-08-12,AC123,Debit,Rent,213.47,Monthly rent
2025-08-31,AC125,Credit,Entertainment,4141.08,Movie or event
2025-08-29,AC124,Debit,Shopping,4366.65,Purchased items
2025-08-12,AC125,Debit,Entertainment,4690.93,Movie or event
2025-08-02,AC124,,Salary,1363.51,Monthly paycheck
2025-08-09,AC125,Debit,Utilities,934.35,Utility bill
2025-08-18,AC123,Credit,Transport,316.75,Taxi or bus fare
2025-08-11,AC125,Credit,Rent,4312.98,Monthly rent
2025-08-30,AC125,Credit,Food,4154.08,Lunch at cafe
2025-08-03,AC125,Credit,Utilities,4992.67,Utility bill
2025-08-29,AC123,Credit,Utilities,1933.52,Utility bill
2025-08-27,AC123,Debit,Salary,2811.74,Monthly paycheck
2025-08-29,AC125,Debit,Transport,4535.44,Taxi or bus fare
2025-08-18,AC123,Credit,Salary,4150.03,Monthly paycheck
2025-08-08,AC124,Debit,Salary,2778.71,Monthly paycheck
2025-08-12,AC125,Credit,Entertainment,246.92,Movie or event
2025-08-03,AC124,Credit,Food,508.08,Lunch at cafe
2025-08-20,AC124,Credit,Transport,2953.72,Taxi or bus fare
2025-08-14,AC124,Debit,Rent,2313.37,Monthly rent
2025-08-24,AC125,Credit,Utilities,127.56,Utility bill
2025-08-30,AC124,Debit,Entertainment,3712.27,Movie or event
2025-08-14,AC125,Debit,Rent,4123.61,Monthly rent
2025-08-04,AC123,Credit,Entertainment,2878.82,Movie or event
2025-08-27,AC125,Debit,Rent,3092.88,Monthly rent
2025-08-22,AC125,Credit,Shopping,4249.70,Purchased items
2025-08-19,AC125,Credit,Entertainment,1042.49,Movie or event
2025-08-14,AC123,Credit,Salary,590.28,Monthly paycheck
2025-08-09,AC125,Credit,Salary,3865.51,Monthly paycheck
2025-08-09,AC124,Credit,Transport,1352.49,Taxi or bus fare
2025-08-17,AC125,Credit,Entertainment,4797.30,
2025-08-11,AC125,Credit,Food,1020.07,Lunch at cafe
2025-08-23,AC125,Debit,Salary,3156.97,Monthly paycheck
2025-08-13,AC123,Credit,Entertainment,2992.45,Movie or event
2025-08-24,AC123,Debit,Transport,710.61,Taxi or bus fare
2025-08-11,AC125,Debit,Transport,1201.19,Taxi or bus fare
2025-08-13,AC123,Debit,Rent,3325.08,Monthly rent
2025-08-24,AC123,Debit,Utilities,473.21,Utility bill
2025-08-24,AC124,Debit,Salary,2576.51,Monthly paycheck
2025-08-18,AC124,,Entertainment,666.91,Movie or event
2025-08-21,AC124,Credit,Transport,913.61,Taxi or bus fare
